Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
5.38,5.690219e-05,16641.69
5.39,5.120682e-05,16497.398
5.4,4.7469486e-05,16388.004
5.41,4.5392895e-05,16311.349
5.42,4.4644155e-05,16263.365
5.43,4.4881574e-05,16238.763
5.44,4.5779063e-05,16231.655
5.45,4.7045916e-05,16236.092
5.46,4.844064e-05,16246.4375
5.47,4.97784e-05,16257.659
5.48,5.0932587e-05,16265.486
5.49,5.1831455e-05,16266.508
5.5,5.2451112e-05,16258.196
5.51,5.2806306e-05,16238.895
5.52,5.2940137e-05,16207.763
5.53,5.2913794e-05,16164.705
5.54,5.279702e-05,16110.266
5.55,5.2659867e-05,16045.512
5.56,5.2566e-05,15971.901
5.57,5.2567673e-05,15891.152
5.58,5.2702424e-05,15805.102
5.59,5.2991338e-05,15715.581
5.6,5.3438765e-05,15624.31
5.61,5.4033255e-05,15532.801
5.62,5.4749526e-05,15442.302
5.63,5.5551158e-05,15353.755
5.64,5.6393823e-05,15267.781
5.65,5.722875e-05,15184.696
5.66,5.8006168e-05,15104.53
5.67,5.8678586e-05,15027.078
5.68,5.9203623e-05,14951.947
5.69,5.9546313e-05,14878.612
5.7,5.9680802e-05,14806.474
5.71,5.9591333e-05,14734.907
5.72,5.9272592e-05,14663.314
5.73,5.8729413e-05,14591.156
5.74,5.7975933e-05,14517.985
5.75,5.7034336e-05,14443.463
5.76,5.593324e-05,14367.371
5.77,5.47059e-05,14289.612
5.78,5.3388332e-05,14210.201
5.79,5.201749e-05,14129.256
5.8,5.0629522e-05,14046.977
5.81,4.925828e-05,13963.629
5.82,4.7934085e-05,13879.52
5.83,4.668277e-05,13794.976
5.84,4.552504e-05,13710.323
5.85,4.447617e-05,13625.873
5.86,4.354595e-05,13541.899
5.87,4.2738913e-05,13458.637
5.88,4.205477e-05,13376.266
5.89,4.1489013e-05,13294.912
5.9,4.1033625e-05,13214.648
5.91,4.0677867e-05,13135.493
5.92,4.0409064e-05,13057.421
5.93,4.0213392e-05,12980.363
5.94,4.0076593e-05,12904.227
5.95,3.99846e-05,12828.89
5.96,3.9924056e-05,12754.225
5.97,3.988276e-05,12680.097
5.98,3.9849925e-05,12606.375
5.99,3.9816397e-05,12532.94
6,3.97747e-05,12459.689
6.01,3.971906e-05,12386.535
6.02,3.9645303e-05,12313.413
6.03,3.9550694e-05,12240.282
6.04,3.9433777e-05,12167.118
6.05,3.9294166e-05,12093.918
6.06,3.9132326e-05,12020.697
6.07,3.894935e-05,11947.481
6.08,3.8746784e-05,11874.309
6.09,3.852644e-05,11801.225
6.1,3.829026e-05,11728.276
6.11,3.804021e-05,11655.515
6.12,3.7792186e-05,11584.049
6.13,3.806286e-05,11541.054
6.14,4.133537e-05,11621.747
6.15,5.1721323e-05,11936.008
6.16,7.222977e-05,12520.48
6.17,0.00010265419,13320.077
6.18,0.00013967481,14230.587
6.19,0.00017842665,15148.165
6.2,0.00021415585,15995.688
6.21,0.00024322559,16727.348
6.22,0.00026347424,17324.49
6.23,0.00027423116,17790.945
6.24,0.00027606645,18143.73
6.25,0.00027032927,18401.852
