Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
10.6,5.4276767e-05,15950.433
10.61,5.484348e-05,15856.459
10.62,5.553963e-05,15763.393
10.63,5.6329834e-05,15672.233
10.64,5.717014e-05,15583.656
10.65,5.8011497e-05,15498.018
10.66,5.880343e-05,15415.359
10.67,5.949776e-05,15335.495
10.68,6.0051047e-05,15258.072
10.69,6.042656e-05,15182.588
10.7,6.0596238e-05,15108.445
10.71,6.054158e-05,15035.008
10.72,6.0254235e-05,14961.649
10.73,5.9737584e-05,14887.797
10.74,5.900535e-05,14812.972
10.75,5.8079415e-05,14736.814
10.76,5.6988065e-05,14659.09
10.77,5.576446e-05,14579.688
10.78,5.444496e-05,14498.625
10.79,5.3066346e-05,14415.997
10.8,5.1665043e-05,14331.99
10.81,5.0275656e-05,14246.861
10.82,4.892951e-05,14160.917
10.83,4.7654194e-05,14074.486
10.84,4.647171e-05,13987.91
10.85,4.5398072e-05,13901.515
10.86,4.4443597e-05,13815.589
10.87,4.361334e-05,13730.373
10.88,4.290749e-05,13646.058
10.89,4.2320004e-05,13562.744
10.9,4.184307e-05,13480.506
10.91,4.146795e-05,13399.389
10.92,4.118559e-05,13319.434
10.93,4.0978975e-05,13240.518
10.94,4.083609e-05,13162.611
10.95,4.0740593e-05,13085.558
10.96,4.067891e-05,13009.231
10.97,4.0637355e-05,12933.484
10.98,4.060514e-05,12858.175
10.99,4.057221e-05,12783.177
11,4.0530373e-05,12708.372
11.01,4.047047e-05,12633.659
11.02,4.0392828e-05,12558.964
11.03,4.029446e-05,12484.254
11.04,4.017357e-05,12409.51
11.05,4.0030132e-05,12334.735
11.06,3.9864586e-05,12259.941
11.07,3.9677976e-05,12185.156
11.08,3.9471513e-05,12110.408
11.09,3.9246956e-05,12035.741
11.1,3.900637e-05,11961.206
11.11,3.8751983e-05,11886.865
11.12,3.8517617e-05,11814.678
11.13,3.8802744e-05,11769.161
11.14,4.1727475e-05,11832.452
11.15,5.1219442e-05,12116.45
11.16,7.055592e-05,12670.286
11.17,9.9947974e-05,13448.512
11.18,0.00013639803,14349.753
11.19,0.00017509796,15267.399
11.2,0.00021121239,16120.741
11.21,0.00024094798,16860.705
11.22,0.0002620032,17466.604
11.23,0.00027358855,17940.76
11.24,0.0002761571,18299.467
11.25,0.00027101985,18562.414
