environment | time (second),Systemic | abdominal_aorta_C114 | u (J_per_m3),Systemic | abdominal_aorta_C114 | v (m3_per_s)
4.94,12653.1,3.93447e-5
4.95,12579.4,3.92564e-5
4.96,12506.4,3.91985e-5
4.97,12433.9,3.91589e-5
4.98,12361.8,3.91271e-5
4.99,12290,3.90942e-5
5,12218.3,3.9053e-5
5.01,12146.7,3.89978e-5
5.02,12075.1,3.89246e-5
5.03,12003.5,3.88308e-5
5.04,11931.9,3.8715e-5
5.05,11860.2,3.85769e-5
5.06,11788.5,3.8417e-5
5.07,11716.9,3.82364e-5
5.08,11645.2,3.80366e-5
5.09,11573.7,3.78194e-5
5.1,11502.2,3.75867e-5
5.11,11431,3.73405e-5
5.12,11361.5,3.71033e-5
5.13,11325,3.74838e-5
5.14,11420,4.11184e-5
5.15,11752.8,5.2108e-5
5.16,12352.8,7.32545e-5
5.17,13160.3,0.000104109
5.18,14070.7,0.000141216
5.19,14982.5,0.000179712
5.2,15821,0.000214931
5.21,16542.7,0.00024335
5.22,17130.4,0.000262917
5.23,17588.9,0.00027305
5.24,17935.5,0.000274375
5.25,18188.9,0.000268264
5.26,18362.4,0.000256365
5.27,18462.9,0.000240281
5.28,18493.1,0.00022141
5.29,18454.9,0.000200914
5.3,18352.6,0.000179752
5.31,18194.2,0.000158725
5.32,17991.3,0.000138505
5.33,17758.3,0.000119648
5.34,17510.8,0.000102593
5.35,17263.6,8.76585e-5
5.36,17030.1,7.50391e-5
5.37,16820.4,6.48068e-5
5.38,16641.6,5.69165e-5
5.39,16497.3,5.12192e-5
5.4,16387.9,4.74797e-5
5.41,16311.2,4.5401e-5
5.42,16263.2,4.46503e-5
5.43,16238.5,4.4886e-5
5.44,16231.4,4.57821e-5
5.45,16235.8,4.70478e-5
5.46,16246.1,4.84417e-5
5.47,16257.3,4.9779e-5
5.48,16265.1,5.09328e-5
5.49,16266.1,5.18315e-5
5.5,16257.8,5.24511e-5
5.51,16238.5,5.28063e-5
5.52,16207.4,5.29402e-5
5.53,16164.3,5.29138e-5
5.54,16109.9,5.2797e-5
5.55,16045.2,5.26597e-5
5.56,15971.6,5.25656e-5
5.57,15890.8,5.2567e-5
5.58,15804.8,5.27013e-5
5.59,15715.3,5.29898e-5
5.6,15624,5.34368e-5
5.61,15532.5,5.40308e-5
5.62,15442,5.47467e-5
5.63,15353.5,5.55479e-5
5.64,15267.5,5.63903e-5
5.65,15184.4,5.72249e-5
5.66,15104.3,5.80022e-5
5.67,15026.8,5.86746e-5
5.68,14951.7,5.91997e-5
5.69,14878.3,5.95425e-5
5.7,14806.2,5.96772e-5
5.71,14734.6,5.9588e-5
5.72,14663,5.92696e-5
